probability,intersections_rand,intersections_alg,distancetraveled_rand,distancetraveled_alg
22.400000000000002,1.0,1.0,544.6554,703.0
22.5,1.0,1.0,547.5508,703.0
22.6,1.0,1.0,546.05,703.0
22.7,1.0,1.0,542.3371,703.0
22.8,1.0,1.0,547.6362,703.0
22.900000000000002,1.0,1.0,543.68,703.0
23.0,1.0,1.0,544.7224,703.0
23.1,1.0,1.0,546.3767,703.0
23.200000000000003,1.0,1.0,545.995,703.0
23.3,1.0,1.0,547.165,703.0
23.400000000000002,1.0,1.0,547.837,703.0
23.5,1.0,1.0,545.7353,703.0
23.599999999999998,1.0,1.0,546.3419,703.0
23.7,1.0,1.0,543.7574,703.0
23.799999999999997,1.0,1.0,546.4798,703.0
23.9,1.0,1.0,545.6747,703.0
24.0,1.0,1.0,546.0086,703.0
24.099999999999998,1.0,1.0,549.5919,703.0
24.2,1.0,1.0,545.9303,703.0
24.3,1.0,1.0,544.8432,703.0
24.4,1.0,1.0,543.7017,703.0
24.5,1.0,1.0,546.1192,703.0
24.6,1.0,1.0,548.181,703.0
24.7,1.0,1.0,546.2026,703.0
24.8,1.0,1.0,545.0478,703.0
24.9,1.0,1.0,543.5636,703.0
25.0,1.0,1.0,542.7773,703.0
25.1,1.0,1.0,544.3701,703.0
25.2,1.0,1.0,546.1428,703.0
25.3,1.0,1.0,542.1745,703.0
25.4,1.0,1.0,543.1969,703.0
25.5,1.0,1.0,544.054,703.0
25.6,1.0,1.0,545.5498,703.0
25.7,1.0,1.0,544.5447,703.0
25.8,1.0,1.0,547.853,703.0
25.900000000000002,1.0,1.0,545.6585,703.0
26.0,1.0,1.0,545.6966,703.0
26.1,1.0,1.0,545.8873,703.0
26.200000000000003,1.0,1.0,545.4765,703.0
26.3,1.0,1.0,543.2866,703.0
26.400000000000002,1.0,1.0,544.2443,703.0
26.5,1.0,1.0,546.3455,703.0
26.6,1.0,1.0,542.6965,703.0
26.700000000000003,1.0,1.0,544.4871,703.0
26.8,1.0,1.0,544.6841,703.0
26.900000000000002,1.0,1.0,547.1287,703.0
27.0,1.0,1.0,548.3836,703.0
27.1,1.0,1.0,549.0173,703.0
27.200000000000003,1.0,1.0,547.7385,703.0
27.3,1.0,1.0,545.9328,703.0
27.400000000000002,1.0,1.0,542.6375,703.0
27.500000000000004,1.0,1.0,544.4747,703.0
27.6,1.0,1.0,546.0378,703.0
27.700000000000003,1.0,1.0,546.2901,703.0
27.800000000000004,1.0,1.0,547.1843,703.0
27.900000000000002,1.0,1.0,544.4599,703.0
28.000000000000004,1.0,1.0,545.9523,703.0
28.1,1.0,1.0,544.6453,703.0
28.199999999999996,1.0,1.0,543.4497,703.0
28.299999999999997,1.0,1.0,545.2447,703.0
28.4,1.0,1.0,544.5679,703.0
28.499999999999996,1.0,1.0,544.1015,703.0
28.599999999999998,1.0,1.0,545.6784,703.0
28.7,1.0,1.0,546.6101,703.0
